Date-Time,Region,Facility,Entrance,Entries,Exits
7/1/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
7/1/17 12:00 AM,UC Berkeley,DOE Library,Doe North,3,3
7/1/17 12:00 AM,UC Berkeley,DOE Library,Doe South,78,74
7/1/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,8,5
7/1/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,5,2
7/1/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/1/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/1/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1,2
7/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,26,33
7/1/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,0,1
7/1/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/2/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
7/2/17 12:00 AM,UC Berkeley,DOE Library,Doe North,2,2
7/2/17 12:00 AM,UC Berkeley,DOE Library,Doe South,42,40
7/2/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,8,7
7/2/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,4,1
7/2/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/2/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/2/17 12:00 AM,UC Berkeley,EART Library,Earth South,1,0
7/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,7,8
7/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,14,15
7/2/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,0,3
7/2/17 12:00 AM,UC Berkeley,NEWS Library,News,0,0
7/3/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,525,488
7/3/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1851,1675
7/3/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1003,1172
7/3/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,282,278
7/3/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,409,469
7/3/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/3/17 12:00 AM,UC Berkeley,EART Library,Earth North,48,53
7/3/17 12:00 AM,UC Berkeley,EART Library,Earth South,58,55
7/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1487,67
7/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,27,1435
7/3/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,13,9
7/3/17 12:00 AM,UC Berkeley,NEWS Library,News,111,109
7/4/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,0,0
7/4/17 12:00 AM,UC Berkeley,DOE Library,Doe North,10,10
7/4/17 12:00 AM,UC Berkeley,DOE Library,Doe South,42,43
7/4/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,5,6
7/4/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,5,2
7/4/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/4/17 12:00 AM,UC Berkeley,EART Library,Earth North,0,0
7/4/17 12:00 AM,UC Berkeley,EART Library,Earth South,0,0
7/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,8,6
7/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,6,9
7/4/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,1,1
7/4/17 12:00 AM,UC Berkeley,NEWS Library,News,1,1
7/5/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,508,449
7/5/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1532,1429
7/5/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1002,1071
7/5/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,254,282
7/5/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,337,435
7/5/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/5/17 12:00 AM,UC Berkeley,EART Library,Earth North,72,78
7/5/17 12:00 AM,UC Berkeley,EART Library,Earth South,81,73
7/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,2051,70
7/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,17,1935
7/5/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,6,14
7/5/17 12:00 AM,UC Berkeley,NEWS Library,News,84,81
7/6/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,551,507
7/6/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1494,1415
7/6/17 12:00 AM,UC Berkeley,DOE Library,Doe South,1028,1079
7/6/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,266,282
7/6/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,326,430
7/6/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/6/17 12:00 AM,UC Berkeley,EART Library,Earth North,80,86
7/6/17 12:00 AM,UC Berkeley,EART Library,Earth South,108,103
7/6/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1950,47
7/6/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Exit,22,1876
7/6/17 12:00 AM,UC Berkeley,MOFF Library,Moffitt 4th,7,9
7/6/17 12:00 AM,UC Berkeley,NEWS Library,News,98,97
7/7/17 12:00 AM,UC Berkeley,BANC Library,Bancroft,500,441
7/7/17 12:00 AM,UC Berkeley,DOE Library,Doe North,1467,1349
7/7/17 12:00 AM,UC Berkeley,DOE Library,Doe South,884,947
7/7/17 12:00 AM,UC Berkeley,DOE STACKS,Moffit Corridor,205,199
7/7/17 12:00 AM,UC Berkeley,DOE STACKS,Stacks East,278,333
7/7/17 12:00 AM,UC Berkeley,EAL Library,EAL,0,0
7/7/17 12:00 AM,UC Berkeley,EART Library,Earth North,37,42
7/7/17 12:00 AM,UC Berkeley,EART Library,Earth South,45,41
7/7/17 12:00 AM,UC Berkeley,MOFF Library,Moffit Entry,1129,50
